transcriptID	geneID
Niben101Scf03735g06010.1	Niben101Scf03735g06010
Niben101Scf03735g07010.1	Niben101Scf03735g07010
Niben101Scf03735g07002.1	Niben101Scf03735g07002
Niben101Scf03735g07020.1	Niben101Scf03735g07020
Niben101Scf03735g07013.1	Niben101Scf03735g07013
Niben101Scf01084g01009.1	Niben101Scf01084g01009
Niben101Scf01084g01008.1	Niben101Scf01084g01008
Niben101Scf01084g01010.1	Niben101Scf01084g01010
Niben101Scf01084g02006.1	Niben101Scf01084g02006
Niben101Scf01084g03004.1	Niben101Scf01084g03004
Niben101Scf01084g03003.1	Niben101Scf01084g03003
Niben101Scf01084g05013.1	Niben101Scf01084g05013
Niben101Scf01084g05004.1	Niben101Scf01084g05004
Niben101Scf01084g06002.1	Niben101Scf01084g06002
Niben101Scf03189g00001.1	Niben101Scf03189g00001
Niben101Scf03189g01011.1	Niben101Scf03189g01011
Niben101Scf03189g01012.1	Niben101Scf03189g01012
Niben101Scf03189g02011.1	Niben101Scf03189g02011
Niben101Scf03189g02012.1	Niben101Scf03189g02012
Niben101Scf03189g02008.1	Niben101Scf03189g02008
Niben101Scf03189g02004.1	Niben101Scf03189g02004
Niben101Scf03189g04010.1	Niben101Scf03189g04010
Niben101Scf03189g04012.1	Niben101Scf03189g04012
Niben101Scf03189g04009.1	Niben101Scf03189g04009
Niben101Scf05321g02001.1	Niben101Scf05321g02001
Niben101Scf05321g02004.1	Niben101Scf05321g02004
Niben101Scf05321g04006.1	Niben101Scf05321g04006
Niben101Scf05321g04007.1	Niben101Scf05321g04007
Niben101Scf05321g06001.1	Niben101Scf05321g06001
Niben101Scf03817g00001.1	Niben101Scf03817g00001
Niben101Scf03817g00007.1	Niben101Scf03817g00007
Niben101Scf03817g02001.1	Niben101Scf03817g02001
Niben101Scf03817g03033.1	Niben101Scf03817g03033
Niben101Scf03817g03032.1	Niben101Scf03817g03032
Niben101Scf03817g03037.1	Niben101Scf03817g03037
Niben101Scf03817g03030.1	Niben101Scf03817g03030
Niben101Scf03817g03027.1	Niben101Scf03817g03027
Niben101Scf03817g03024.1	Niben101Scf03817g03024
Niben101Scf03817g03029.1	Niben101Scf03817g03029
Niben101Scf03817g03026.1	Niben101Scf03817g03026
Niben101Scf03817g04007.1	Niben101Scf03817g04007
Niben101Scf03817g04006.1	Niben101Scf03817g04006
Niben101Scf03817g05001.1	Niben101Scf03817g05001
Niben101Scf03817g05002.1	Niben101Scf03817g05002
Niben101Scf03817g07006.1	Niben101Scf03817g07006
Niben101Scf03817g07012.1	Niben101Scf03817g07012
Niben101Scf03817g07004.1	Niben101Scf03817g07004
Niben101Scf03817g08006.1	Niben101Scf03817g08006
Niben101Scf03817g09001.1	Niben101Scf03817g09001
Niben101Scf03817g10004.1	Niben101Scf03817g10004
Niben101Scf03817g11007.1	Niben101Scf03817g11007
Niben101Scf03817g11008.1	Niben101Scf03817g11008
Niben101Scf03817g12026.1	Niben101Scf03817g12026
Niben101Scf03817g12027.1	Niben101Scf03817g12027
Niben101Scf03817g12029.1	Niben101Scf03817g12029
Niben101Scf03817g12030.1	Niben101Scf03817g12030
Niben101Scf03817g12028.1	Niben101Scf03817g12028
Niben101Scf03817g13003.1	Niben101Scf03817g13003
Niben101Scf03817g14005.1	Niben101Scf03817g14005
Niben101Scf03817g15014.1	Niben101Scf03817g15014
Niben101Scf03817g16010.1	Niben101Scf03817g16010
Niben101Scf03817g16002.1	Niben101Scf03817g16002
Niben101Scf03817g16005.1	Niben101Scf03817g16005
Niben101Scf06383g00002.1	Niben101Scf06383g00002
Niben101Scf06383g00006.1	Niben101Scf06383g00006
Niben101Scf06383g01006.1	Niben101Scf06383g01006
Niben101Scf06383g01007.1	Niben101Scf06383g01007
Niben101Scf07058g00004.1	Niben101Scf07058g00004
Niben101Scf07058g00003.1	Niben101Scf07058g00003
Niben101Scf07058g00002.1	Niben101Scf07058g00002
Niben101Scf07058g01003.1	Niben101Scf07058g01003
Niben101Scf07058g02007.1	Niben101Scf07058g02007
Niben101Scf07058g02006.1	Niben101Scf07058g02006
Niben101Scf07058g04002.1	Niben101Scf07058g04002
Niben101Scf07058g05019.1	Niben101Scf07058g05019
Niben101Scf07058g05004.1	Niben101Scf07058g05004
Niben101Scf07058g05012.1	Niben101Scf07058g05012
Niben101Scf00995g00005.1	Niben101Scf00995g00005
Niben101Scf00995g02002.1	Niben101Scf00995g02002
Niben101Scf00949g01010.1	Niben101Scf00949g01010
Niben101Scf00949g01013.1	Niben101Scf00949g01013
Niben101Scf00949g02004.1	Niben101Scf00949g02004
Niben101Scf00949g02006.1	Niben101Scf00949g02006
Niben101Scf00949g02005.1	Niben101Scf00949g02005
Niben101Scf00949g03003.1	Niben101Scf00949g03003
Niben101Scf00949g05002.1	Niben101Scf00949g05002
Niben101Scf00949g06004.1	Niben101Scf00949g06004
Niben101Scf05122g00005.1	Niben101Scf05122g00005
Niben101Scf05122g00007.1	Niben101Scf05122g00007
Niben101Scf11909g00006.1	Niben101Scf11909g00006
Niben101Scf11909g00001.1	Niben101Scf11909g00001
Niben101Scf00283g00006.1	Niben101Scf00283g00006
Niben101Scf00283g01007.1	Niben101Scf00283g01007
Niben101Scf00283g01001.1	Niben101Scf00283g01001
Niben101Scf00283g02004.1	Niben101Scf00283g02004
Niben101Scf00283g04008.1	Niben101Scf00283g04008
Niben101Scf00283g04009.1	Niben101Scf00283g04009
Niben101Scf35301g00004.1	Niben101Scf35301g00004
Niben101Scf35301g00001.1	Niben101Scf35301g00001
Niben101Scf17267g00001.1	Niben101Scf17267g00001
Niben101Scf00985g04006.1	Niben101Scf00985g04006
Niben101Scf00985g06002.1	Niben101Scf00985g06002
Niben101Scf00985g06001.1	Niben101Scf00985g06001
Niben101Scf00985g06010.1	Niben101Scf00985g06010
Niben101Scf00985g06013.1	Niben101Scf00985g06013
Niben101Scf00985g06016.1	Niben101Scf00985g06016
Niben101Scf23299g00008.1	Niben101Scf23299g00008
Niben101Scf00168g01010.1	Niben101Scf00168g01010
Niben101Scf00168g01001.1	Niben101Scf00168g01001
Niben101Scf00168g03002.1	Niben101Scf00168g03002
Niben101Scf00168g03007.1	Niben101Scf00168g03007
Niben101Scf00168g03011.1	Niben101Scf00168g03011
Niben101Scf00168g03012.1	Niben101Scf00168g03012
Niben101Scf00168g03001.1	Niben101Scf00168g03001
Niben101Scf00168g05002.1	Niben101Scf00168g05002
Niben101Scf00168g05004.1	Niben101Scf00168g05004
Niben101Scf00168g06001.1	Niben101Scf00168g06001
Niben101Scf00168g06013.1	Niben101Scf00168g06013
Niben101Scf00168g06003.1	Niben101Scf00168g06003
Niben101Scf00168g07002.1	Niben101Scf00168g07002
Niben101Scf00168g07004.1	Niben101Scf00168g07004
Niben101Scf00168g07003.1	Niben101Scf00168g07003
Niben101Scf00168g08008.1	Niben101Scf00168g08008
Niben101Scf00168g08009.1	Niben101Scf00168g08009
Niben101Scf00168g08010.1	Niben101Scf00168g08010
Niben101Scf00168g09007.1	Niben101Scf00168g09007
Niben101Scf00168g09005.1	Niben101Scf00168g09005
Niben101Scf00168g10008.1	Niben101Scf00168g10008
Niben101Scf00168g10016.1	Niben101Scf00168g10016
Niben101Scf00168g10029.1	Niben101Scf00168g10029
Niben101Scf00168g10031.1	Niben101Scf00168g10031
Niben101Scf00168g10018.1	Niben101Scf00168g10018
Niben101Scf12835g00006.1	Niben101Scf12835g00006
Niben101Scf02551g00002.1	Niben101Scf02551g00002
Niben101Scf02551g00003.1	Niben101Scf02551g00003
Niben101Scf02551g01004.1	Niben101Scf02551g01004
Niben101Scf02551g01006.1	Niben101Scf02551g01006
Niben101Scf02551g01007.1	Niben101Scf02551g01007
Niben101Scf02123g02003.1	Niben101Scf02123g02003
Niben101Scf02123g02006.1	Niben101Scf02123g02006
Niben101Scf02123g03009.1	Niben101Scf02123g03009
Niben101Scf02123g04002.1	Niben101Scf02123g04002
Niben101Scf02123g05003.1	Niben101Scf02123g05003
Niben101Scf02123g10014.1	Niben101Scf02123g10014
Niben101Scf02123g10015.1	Niben101Scf02123g10015
Niben101Scf02123g10017.1	Niben101Scf02123g10017
Niben101Scf09998g01004.1	Niben101Scf09998g01004
Niben101Scf09998g01014.1	Niben101Scf09998g01014
Niben101Scf09998g01003.1	Niben101Scf09998g01003
Niben101Scf09998g01010.1	Niben101Scf09998g01010
Niben101Ctg10403g00003.1	Niben101Ctg10403g00003
Niben101Scf11337g00010.1	Niben101Scf11337g00010
Niben101Scf11337g00009.1	Niben101Scf11337g00009
Niben101Ctg06060g00001.1	Niben101Ctg06060g00001
Niben101Scf13229g00002.1	Niben101Scf13229g00002
Niben101Scf13229g02003.1	Niben101Scf13229g02003
Niben101Scf13229g03005.1	Niben101Scf13229g03005
Niben101Scf13229g04003.1	Niben101Scf13229g04003
Niben101Scf10442g00006.1	Niben101Scf10442g00006
Niben101Scf10442g00016.1	Niben101Scf10442g00016
Niben101Scf10442g00011.1	Niben101Scf10442g00011
Niben101Scf10442g00014.1	Niben101Scf10442g00014
Niben101Scf10442g00012.1	Niben101Scf10442g00012
Niben101Scf10442g00013.1	Niben101Scf10442g00013
Niben101Scf10442g00010.1	Niben101Scf10442g00010
Niben101Scf10442g00009.1	Niben101Scf10442g00009
Niben101Scf10442g00015.1	Niben101Scf10442g00015
Niben101Scf01162g02003.1	Niben101Scf01162g02003
Niben101Scf04225g00006.1	Niben101Scf04225g00006
Niben101Scf04225g02006.1	Niben101Scf04225g02006
Niben101Scf04225g02002.1	Niben101Scf04225g02002
Niben101Scf04225g02007.1	Niben101Scf04225g02007
Niben101Scf12024g00004.1	Niben101Scf12024g00004
Niben101Scf12024g00010.1	Niben101Scf12024g00010
Niben101Scf12024g00003.1	Niben101Scf12024g00003
Niben101Scf12024g00012.1	Niben101Scf12024g00012
Niben101Scf12024g00020.1	Niben101Scf12024g00020
Niben101Scf02041g00001.1	Niben101Scf02041g00001
Niben101Scf02041g00002.1	Niben101Scf02041g00002
Niben101Scf02041g01024.1	Niben101Scf02041g01024
Niben101Scf02041g01013.1	Niben101Scf02041g01013
Niben101Scf02041g01016.1	Niben101Scf02041g01016
Niben101Scf02041g01018.1	Niben101Scf02041g01018
Niben101Scf02041g01017.1	Niben101Scf02041g01017
Niben101Scf02041g02007.1	Niben101Scf02041g02007
Niben101Scf02041g02009.1	Niben101Scf02041g02009
Niben101Scf02041g03005.1	Niben101Scf02041g03005
Niben101Scf02041g04034.1	Niben101Scf02041g04034
Niben101Scf02041g04015.1	Niben101Scf02041g04015
Niben101Scf02041g04016.1	Niben101Scf02041g04016
Niben101Scf02041g04013.1	Niben101Scf02041g04013
Niben101Scf02041g04029.1	Niben101Scf02041g04029
Niben101Scf02041g04018.1	Niben101Scf02041g04018
Niben101Scf02041g04007.1	Niben101Scf02041g04007
Niben101Scf02041g04019.1	Niben101Scf02041g04019
Niben101Scf02041g05002.1	Niben101Scf02041g05002
Niben101Scf02041g05003.1	Niben101Scf02041g05003
Niben101Scf02041g05016.1	Niben101Scf02041g05016
Niben101Scf01109g00002.1	Niben101Scf01109g00002
Niben101Scf01109g00006.1	Niben101Scf01109g00006
Niben101Scf01109g00004.1	Niben101Scf01109g00004
Niben101Scf01109g00005.1	Niben101Scf01109g00005
Niben101Scf01109g03003.1	Niben101Scf01109g03003
Niben101Scf01109g03002.1	Niben101Scf01109g03002
Niben101Scf01109g03004.1	Niben101Scf01109g03004
Niben101Scf01109g03005.1	Niben101Scf01109g03005
Niben101Scf01109g04005.1	Niben101Scf01109g04005
Niben101Scf01109g04021.1	Niben101Scf01109g04021
Niben101Scf01109g04010.1	Niben101Scf01109g04010
Niben101Scf01109g04016.1	Niben101Scf01109g04016
Niben101Scf01109g04006.1	Niben101Scf01109g04006
Niben101Scf01109g04022.1	Niben101Scf01109g04022
Niben101Scf01852g00002.1	Niben101Scf01852g00002
Niben101Scf01852g01033.1	Niben101Scf01852g01033
Niben101Scf01852g01021.1	Niben101Scf01852g01021
Niben101Scf01852g01020.1	Niben101Scf01852g01020
Niben101Scf01852g01023.1	Niben101Scf01852g01023
Niben101Scf01852g02002.1	Niben101Scf01852g02002
Niben101Scf01852g03001.1	Niben101Scf01852g03001
Niben101Scf01852g03002.1	Niben101Scf01852g03002
Niben101Scf01852g03003.1	Niben101Scf01852g03003
Niben101Scf01852g04018.1	Niben101Scf01852g04018
Niben101Scf01852g04031.1	Niben101Scf01852g04031
Niben101Scf01852g04013.1	Niben101Scf01852g04013
Niben101Scf01852g04029.1	Niben101Scf01852g04029
Niben101Scf01852g04030.1	Niben101Scf01852g04030
Niben101Scf01852g04026.1	Niben101Scf01852g04026
Niben101Ctg07784g00001.1	Niben101Ctg07784g00001
Niben101Scf02182g00001.1	Niben101Scf02182g00001
Niben101Scf02182g00004.1	Niben101Scf02182g00004
Niben101Scf02182g01013.1	Niben101Scf02182g01013
Niben101Scf02182g01012.1	Niben101Scf02182g01012
Niben101Scf02182g01015.1	Niben101Scf02182g01015
Niben101Scf02182g01014.1	Niben101Scf02182g01014
Niben101Scf02182g02003.1	Niben101Scf02182g02003
Niben101Scf02182g02007.1	Niben101Scf02182g02007
Niben101Scf02182g03001.1	Niben101Scf02182g03001
Niben101Scf02182g05003.1	Niben101Scf02182g05003
Niben101Scf02182g07004.1	Niben101Scf02182g07004
Niben101Scf02182g07005.1	Niben101Scf02182g07005
Niben101Scf02182g09002.1	Niben101Scf02182g09002
Niben101Scf02182g09003.1	Niben101Scf02182g09003
Niben101Scf02182g11003.1	Niben101Scf02182g11003
Niben101Scf02182g12004.1	Niben101Scf02182g12004
Niben101Scf02182g13008.1	Niben101Scf02182g13008
Niben101Scf02182g14005.1	Niben101Scf02182g14005
Niben101Scf02182g14004.1	Niben101Scf02182g14004
Niben101Scf02182g16013.1	Niben101Scf02182g16013
Niben101Scf02182g18008.1	Niben101Scf02182g18008
Niben101Scf02182g18003.1	Niben101Scf02182g18003
Niben101Scf02182g18007.1	Niben101Scf02182g18007
Niben101Scf02182g19001.1	Niben101Scf02182g19001
Niben101Scf02182g19002.1	Niben101Scf02182g19002
Niben101Scf02182g19003.1	Niben101Scf02182g19003
Niben101Scf02182g19004.1	Niben101Scf02182g19004
Niben101Scf02182g21007.1	Niben101Scf02182g21007
Niben101Scf16956g00002.1	Niben101Scf16956g00002
Niben101Ctg11401g00001.1	Niben101Ctg11401g00001
Niben101Scf08072g00013.1	Niben101Scf08072g00013
Niben101Scf08072g00014.1	Niben101Scf08072g00014
Niben101Scf08072g00015.1	Niben101Scf08072g00015
Niben101Scf08072g02002.1	Niben101Scf08072g02002
Niben101Scf08072g02001.1	Niben101Scf08072g02001
Niben101Scf11376g00009.1	Niben101Scf11376g00009
Niben101Scf11376g00010.1	Niben101Scf11376g00010
Niben101Scf07007g00008.1	Niben101Scf07007g00008
Niben101Scf07007g01015.1	Niben101Scf07007g01015
Niben101Scf07007g01009.1	Niben101Scf07007g01009
Niben101Scf07007g01002.1	Niben101Scf07007g01002
Niben101Scf07007g02005.1	Niben101Scf07007g02005
Niben101Scf07007g03012.1	Niben101Scf07007g03012
Niben101Scf07007g03011.1	Niben101Scf07007g03011
Niben101Scf07007g03013.1	Niben101Scf07007g03013
Niben101Scf28062g00001.1	Niben101Scf28062g00001
Niben101Scf28062g00003.1	Niben101Scf28062g00003
Niben101Scf04148g00002.1	Niben101Scf04148g00002
Niben101Scf04148g01034.1	Niben101Scf04148g01034
Niben101Scf04148g01032.1	Niben101Scf04148g01032
Niben101Scf04148g01003.1	Niben101Scf04148g01003
Niben101Scf04148g01037.1	Niben101Scf04148g01037
Niben101Scf04148g01035.1	Niben101Scf04148g01035
Niben101Scf00850g00005.1	Niben101Scf00850g00005
Niben101Scf00850g00008.1	Niben101Scf00850g00008
Niben101Scf00850g01027.1	Niben101Scf00850g01027
Niben101Scf00850g01029.1	Niben101Scf00850g01029
Niben101Scf00850g01031.1	Niben101Scf00850g01031
Niben101Scf00850g01005.1	Niben101Scf00850g01005
Niben101Scf00850g01028.1	Niben101Scf00850g01028
Niben101Scf00850g01025.1	Niben101Scf00850g01025
Niben101Scf07631g00004.1	Niben101Scf07631g00004
Niben101Scf07631g00003.1	Niben101Scf07631g00003
Niben101Scf07631g00002.1	Niben101Scf07631g00002
Niben101Scf07631g00009.1	Niben101Scf07631g00009
Niben101Scf07631g01011.1	Niben101Scf07631g01011
Niben101Scf07631g01006.1	Niben101Scf07631g01006
Niben101Scf07631g02024.1	Niben101Scf07631g02024
Niben101Scf07631g02015.1	Niben101Scf07631g02015
Niben101Scf07631g02022.1	Niben101Scf07631g02022
Niben101Scf21372g00001.1	Niben101Scf21372g00001
Niben101Scf09599g00009.1	Niben101Scf09599g00009
Niben101Scf09599g00016.1	Niben101Scf09599g00016
Niben101Scf09599g00015.1	Niben101Scf09599g00015
Niben101Scf09599g00012.1	Niben101Scf09599g00012
Niben101Scf09599g00014.1	Niben101Scf09599g00014
Niben101Scf09599g00007.1	Niben101Scf09599g00007
Niben101Scf08376g00005.1	Niben101Scf08376g00005
Niben101Scf08376g00012.1	Niben101Scf08376g00012
Niben101Scf11380g00006.1	Niben101Scf11380g00006
Niben101Scf11380g00004.1	Niben101Scf11380g00004
Niben101Scf11380g03006.1	Niben101Scf11380g03006
Niben101Scf11380g03009.1	Niben101Scf11380g03009
Niben101Scf02622g01003.1	Niben101Scf02622g01003
Niben101Scf02622g01002.1	Niben101Scf02622g01002
Niben101Scf02622g04001.1	Niben101Scf02622g04001
Niben101Scf02622g04003.1	Niben101Scf02622g04003
Niben101Scf02622g04002.1	Niben101Scf02622g04002
Niben101Scf02622g07006.1	Niben101Scf02622g07006
Niben101Scf02622g07001.1	Niben101Scf02622g07001
Niben101Scf02622g07005.1	Niben101Scf02622g07005
Niben101Scf02622g08010.1	Niben101Scf02622g08010
Niben101Scf02622g08012.1	Niben101Scf02622g08012
Niben101Scf02622g09005.1	Niben101Scf02622g09005
Niben101Scf02622g09006.1	Niben101Scf02622g09006
Niben101Scf02622g09017.1	Niben101Scf02622g09017
Niben101Scf02622g09004.1	Niben101Scf02622g09004
Niben101Scf02622g09003.1	Niben101Scf02622g09003
Niben101Scf02622g10012.1	Niben101Scf02622g10012
Niben101Scf02622g10003.1	Niben101Scf02622g10003
Niben101Scf02622g11009.1	Niben101Scf02622g11009
Niben101Scf02622g11005.1	Niben101Scf02622g11005
Niben101Scf02622g11007.1	Niben101Scf02622g11007
Niben101Scf02622g12045.1	Niben101Scf02622g12045
Niben101Scf02622g12049.1	Niben101Scf02622g12049
Niben101Scf02622g12018.1	Niben101Scf02622g12018
Niben101Scf02622g12016.1	Niben101Scf02622g12016
Niben101Scf02622g12029.1	Niben101Scf02622g12029
Niben101Scf02622g12032.1	Niben101Scf02622g12032
Niben101Scf02622g12022.1	Niben101Scf02622g12022
Niben101Scf02622g12004.1	Niben101Scf02622g12004
Niben101Scf02622g12006.1	Niben101Scf02622g12006
Niben101Scf02622g12044.1	Niben101Scf02622g12044
Niben101Scf02622g12036.1	Niben101Scf02622g12036
Niben101Scf02622g12037.1	Niben101Scf02622g12037
Niben101Scf05849g00005.1	Niben101Scf05849g00005
Niben101Scf05849g00002.1	Niben101Scf05849g00002
Niben101Scf05849g00001.1	Niben101Scf05849g00001
Niben101Scf05849g01005.1	Niben101Scf05849g01005
Niben101Scf05849g01006.1	Niben101Scf05849g01006
Niben101Scf15260g00002.1	Niben101Scf15260g00002
Niben101Scf15260g01005.1	Niben101Scf15260g01005
Niben101Scf15260g01006.1	Niben101Scf15260g01006
Niben101Scf15549g00002.1	Niben101Scf15549g00002
Niben101Ctg09679g00001.1	Niben101Ctg09679g00001
Niben101Scf39270g00002.1	Niben101Scf39270g00002
Niben101Scf00812g00009.1	Niben101Scf00812g00009
Niben101Scf00812g00008.1	Niben101Scf00812g00008
Niben101Scf00812g01006.1	Niben101Scf00812g01006
Niben101Scf00812g01007.1	Niben101Scf00812g01007
Niben101Scf00812g01008.1	Niben101Scf00812g01008
Niben101Scf00812g02002.1	Niben101Scf00812g02002
Niben101Scf00812g02008.1	Niben101Scf00812g02008
Niben101Scf00812g02010.1	Niben101Scf00812g02010
Niben101Scf00812g02013.1	Niben101Scf00812g02013
Niben101Scf00812g03001.1	Niben101Scf00812g03001
Niben101Scf00812g03002.1	Niben101Scf00812g03002
Niben101Scf21965g00002.1	Niben101Scf21965g00002
Niben101Ctg11603g00003.1	Niben101Ctg11603g00003
Niben101Scf08680g00002.1	Niben101Scf08680g00002
Niben101Scf08680g00003.1	Niben101Scf08680g00003
Niben101Scf08680g01007.1	Niben101Scf08680g01007
Niben101Scf08680g01009.1	Niben101Scf08680g01009
Niben101Scf08680g01010.1	Niben101Scf08680g01010
Niben101Scf08680g01018.1	Niben101Scf08680g01018
Niben101Scf08680g02016.1	Niben101Scf08680g02016
Niben101Scf08680g02015.1	Niben101Scf08680g02015
Niben101Scf08680g02018.1	Niben101Scf08680g02018
Niben101Scf08680g02012.1	Niben101Scf08680g02012
Niben101Scf08680g02003.1	Niben101Scf08680g02003
Niben101Scf08680g02019.1	Niben101Scf08680g02019
Niben101Scf00595g00013.1	Niben101Scf00595g00013
Niben101Scf00595g00014.1	Niben101Scf00595g00014
Niben101Scf00595g00015.1	Niben101Scf00595g00015
Niben101Scf00595g01001.1	Niben101Scf00595g01001
Niben101Scf00595g01002.1	Niben101Scf00595g01002
Niben101Scf00595g01006.1	Niben101Scf00595g01006
Niben101Scf00595g02001.1	Niben101Scf00595g02001
Niben101Scf00595g02025.1	Niben101Scf00595g02025
Niben101Scf00595g02016.1	Niben101Scf00595g02016
Niben101Scf00595g02026.1	Niben101Scf00595g02026
Niben101Scf00595g02005.1	Niben101Scf00595g02005
Niben101Scf00595g03007.1	Niben101Scf00595g03007
Niben101Scf00595g03009.1	Niben101Scf00595g03009
Niben101Scf00595g03001.1	Niben101Scf00595g03001
Niben101Scf00595g03002.1	Niben101Scf00595g03002
Niben101Scf00595g04003.1	Niben101Scf00595g04003
Niben101Scf00595g04019.1	Niben101Scf00595g04019
Niben101Scf00595g04023.1	Niben101Scf00595g04023
Niben101Scf00595g04006.1	Niben101Scf00595g04006
Niben101Scf00595g04004.1	Niben101Scf00595g04004
Niben101Scf00595g05010.1	Niben101Scf00595g05010
Niben101Scf00595g05001.1	Niben101Scf00595g05001
Niben101Scf00595g06006.1	Niben101Scf00595g06006
Niben101Scf00595g07010.1	Niben101Scf00595g07010
Niben101Scf00595g08042.1	Niben101Scf00595g08042
Niben101Scf00595g08009.1	Niben101Scf00595g08009
Niben101Scf00595g08041.1	Niben101Scf00595g08041
Niben101Scf00595g08043.1	Niben101Scf00595g08043
Niben101Scf00595g08033.1	Niben101Scf00595g08033
Niben101Scf00595g08039.1	Niben101Scf00595g08039
Niben101Scf00595g08045.1	Niben101Scf00595g08045
Niben101Scf00595g08047.1	Niben101Scf00595g08047
Niben101Scf00595g08046.1	Niben101Scf00595g08046
Niben101Scf32055g00003.1	Niben101Scf32055g00003
Niben101Ctg03154g00002.1	Niben101Ctg03154g00002
Niben101Scf07298g00006.1	Niben101Scf07298g00006
Niben101Scf07298g00002.1	Niben101Scf07298g00002
Niben101Scf02632g00005.1	Niben101Scf02632g00005
Niben101Scf02632g00004.1	Niben101Scf02632g00004
